,Name,Street Address,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,City,State
1132,Isarn Thai Soul Kitchen,170 Lake St S," Asian, Thai, Vegetarian Friendly",4.5,150,We think the tastes on their menu are something special. This is not your usual Asian restaurant!  Always crowded when we go and worth the wait.,+1 425-298-4429,https://www.tripadvisor.com//Restaurant_Review-g58541-d6017764-Reviews-Isarn_Thai_Soul_Kitchen-Kirkland_Washington.html,Check The Website for a Menu,Kirkland, WA
1133,Island Cafe,250 NE Tomahawk Island Dr," American, Bar, Cafe",4.5,269,"This place is wonderful. We tried it for the first time late this summer and have been there a couple of times now. Friendly staff, great atmosphere (feels like you left the Pacific Northwest for a bit!) and the food is excellent. We went specifically...More",+1 503-283-0362,https://www.tripadvisor.com//Restaurant_Review-g52024-d487898-Reviews-Island_Cafe-Portland_Oregon.html,Check The Website for a Menu,Portland, OR
1134,Istanbul Grill,6204 S Cooper St," Mediterranean, Turkish, Middle Eastern",4.5,343,"We were a group of 4 couples who went for dinner on a Saturday evening. Each of us ordered a different entree and each entree was excellent  in taste, presentation, and portion size. I ordered Hunkar Begendi which is Pureed eggplant topped w/ baked cuts...More",+1 817-557-3377,https://www.tripadvisor.com//Restaurant_Review-g30183-d2394362-Reviews-Istanbul_Grill-Arlington_Texas.html,Check The Website for a Menu,Arlington, TX
1135,Istanbul Grill &Bar,401 Throckmorton St," Mediterranean, Turkish, Vegetarian Friendly",4.5,114,"The hummus and hot mixed appetizer were delicious and the salmon kabob was very good, friendly service and excellent value.",+1 817-885-7326,https://www.tripadvisor.com//Restaurant_Review-g55857-d12335829-Reviews-Istanbul_Grill_Bar-Fort_Worth_Texas.html,http://www.istanbulgrillbar.com/menu,Fort Worth, TX
1136,It's Greek to Me,852 State Route 3 West," Mediterranean, Greek, Vegetarian Friendly",4.0,53,"Great food, menu. My friend's family is from Greece and gave the food a thumbs-up; that's enough endorsement for me. Greek salad is exceptional.",+1 973-594-1777,https://www.tripadvisor.com//Restaurant_Review-g46365-d1810120-Reviews-It_s_Greek_to_Me-Clifton_New_Jersey.html,Check The Website for a Menu,Clifton, NJ
1137,Italia Trattoria,144 S Cannon St," Italian, European, Healthy",4.5,271,"We got there as soon as they opened (5pm) on a Thursday night. It’s a small restaurant, but it looks like they can put quite a few people in there. Call for reservations to be safe. Everyone was dressed pretty casual. The food was excellent...More",+1 509-459-6000,https://www.tripadvisor.com//Restaurant_Review-g58759-d1892751-Reviews-Italia_Trattoria-Spokane_Washington.html,Check The Website for a Menu,Spokane, WA
1138,Italian Cafe,19620 Kuykendahl Rd," Italian, Vegetarian Friendly",4.5,65,"This is our local go to restaurant as it is always good and served hot! 
 Most restaurants pre-prepare their food and it is not as good as the Italian Cafe.
We have been going there for about 10 years and it has never disappointed us....More",+1 281-528-2919,https://www.tripadvisor.com//Restaurant_Review-g56701-d2058320-Reviews-Italian_Cafe-Spring_Texas.html,Check The Website for a Menu,Spring, TX
1139,Italian Cafe,387 Las Colinas Blvd E," Italian, Pizza, Vegetarian Friendly",4.0,143,I have stopped by a few times for a quick solo meal or a happy hour drink. The service is always friendly and fast. The pizza is good. I enjoy my time stopping in here.,+1 972-401-0216,https://www.tripadvisor.com//Restaurant_Review-g56032-d2403608-Reviews-Italian_Cafe-Irving_Texas.html,Check The Website for a Menu,Irving, TX
1140,Italian Garden,1215 Avenue J," Italian, Pizza, Vegetarian Friendly",4.5,276,"I enjoyed their spaghetti, but the pink sauce ravioli tasted more like the ravioli was stuffed with canned tuna....anyway,  very bland and not anything I would ever order again.  
They do accept reservations for large groups, but not for 2 or 4 people.  
I do...More",+1 806-771-2212,https://www.tripadvisor.com//Restaurant_Review-g56208-d10325835-Reviews-Italian_Garden-Lubbock_Texas.html,Check The Website for a Menu,Lubbock, TX
1141,Italian Prime At Salvatore's,6461 Transit Rd," Italian, American, Vegetarian Friendly",4.0,648,"My husband ordered the rib eye, which was great....I ordered the mimi's stuffed meatball with spaghetti.  My meal was not great at all...it was lacking spice, salt and pepper.  It was so bland....the sauce was mostly chopped tomato...I was so surprised that and Italian restaurant...More",+1 877-456-4097,https://www.tripadvisor.com//Restaurant_Review-g60974-d408663-Reviews-Italian_Prime_At_Salvatore_s-Buffalo_New_York.html,Check The Website for a Menu,Buffalo, NY
1142,Italianissimo Trattoria,323 3rd Ave," Italian, Vegetarian Friendly, Vegan Options",4.5,227,No comments,+1 619-651-1457,https://www.tripadvisor.com//Restaurant_Review-g32210-d2467442-Reviews-Italianissimo_Trattoria-Chula_Vista_California.html,Check The Website for a Menu,Chula Vista, CA
1143,Ithaca Ale House,111 N Aurora St," American, Bar, Pub",4.0,463,"We travel a bit, and we like to explore local breweries/Ale houses in whatever area we are in.  Basically, the locals are going to know what is good!!!  No exception here - the Ithaca Ale House has a great selcetion of local beers, as well...More",+1 607-256-7977,https://www.tripadvisor.com//Restaurant_Review-g47958-d1019978-Reviews-Ithaca_Ale_House-Ithaca_Finger_Lakes_New_York.html,Check The Website for a Menu,Ithaca, NY
1144,Ithaca Beer Co.,122 Ithaca Beer Dr," American, Brew Pub, Bar",4.5,308,We celebrated Valentine's Day at the Taproom. Thoroughly enjoyable. We hadn't been there in a dozen years so it was like catching up with an old friend. They have their own farm now. They post on the blackboard how much of their food is currently...More,+1 607-273-0766,https://www.tripadvisor.com//Restaurant_Review-g47958-d3932351-Reviews-Ithaca_Beer_Co-Ithaca_Finger_Lakes_New_York.html,Check The Website for a Menu,Ithaca, NY
1145,Ithaca Coffee Company,2255 N Triphammer Rd," American, Bar, Cafe",4.0,37,"We wanted to eat at Ithaca Bakery (inside the Triphammer Marketplace), but instead, we have mistakenly walked into Ithaca Coffee Company. The food selection is limited and a bit pricey ($3 for cream cheese bagel, $3 for a scone). However, we really enjoyed the cozy...More",+1 607-257-2669,https://www.tripadvisor.com//Restaurant_Review-g47958-d4098143-Reviews-Ithaca_Coffee_Company-Ithaca_Finger_Lakes_New_York.html,Check The Website for a Menu,Ithaca, NY
1146,Ithaca Coffee Company,311 E Green St," American, Bar, Cafe",4.5,53,"While on our way to a tour of Ithaca College, my daughter and I stopped for coffee, tea and a quick bite to eat.  The matcha tea was delicious and the coffee, great.  Breakfast sandwich was really hearty and the service was fantastic.  We'll come...More",+1 607-257-2626 ext. 1236,https://www.tripadvisor.com//Restaurant_Review-g47958-d4098149-Reviews-Ithaca_Coffee_Company-Ithaca_Finger_Lakes_New_York.html,Check The Website for a Menu,Ithaca, NY
1147,Ivar's Mukilteo Landing,710 Front St," American, Seafood, Vegetarian Friendly",4.5,966,"Visited twice. Once in summer on the patio; the other in winter at a window table. The views and ambience here are excellent. The food is consistently good although we are not “foodies” so can’t attest to the culinary quality. But if we like it,...More",+1 425-742-6180,https://www.tripadvisor.com//Restaurant_Review-g58625-d593906-Reviews-Ivar_s_Mukilteo_Landing-Mukilteo_Washington.html,https://www.ivars.com/locations/mukilteo-landing#menus,Mukilteo, WA
1148,Ivar's Seafood and Chowder,1520 41st St," Seafood, Fast Food, Soups",4.5,59,"I Thought I'd reviewed this location long ago as we've been coming here for a number of years.  Simply put they get fish and chips right every time.  The baby shrimp and onion rings are great as well.  The service is friendly and prompt, even...More",+1 425-252-9292,https://www.tripadvisor.com//Restaurant_Review-g58466-d6437327-Reviews-Ivar_s_Seafood_and_Chowder-Everett_Washington.html,http://www.ivars.com/locations/acres-of-clams#menus,Everett, WA
1149,Ivar's Seafood Bar,2004 S 320th St," American, Seafood, Soups",4.0,50,"Friendly service and good options. Can have a side salad instead of fries too.  I had cod, but pollock and haddock is available too. Food quality was good and I enjoyed my meal here.",+1 253-941-7321,https://www.tripadvisor.com//Restaurant_Review-g58471-d4296174-Reviews-Ivar_s_Seafood_Bar-Federal_Way_Washington.html,http://www.ivars.com/locations/acres-of-clams#menus,Federal Way, WA
1150,Iyasare,1830 4th St," Japanese, Asian, Vegetarian Friendly",4.5,119,No comments,+1 510-845-8100,https://www.tripadvisor.com//Restaurant_Review-g32066-d5601764-Reviews-Iyasare-Berkeley_California.html,Check The Website for a Menu,Berkeley, CA
1151,Izakaya in Borgata Hotel,1 Borgata Way," Japanese, Sushi, Asian",4.0,425,Each time we dine here is just amazing. I highly recommend their Monday specials- you will not be disappointed.,+1 609-317-1000,https://www.tripadvisor.com//Restaurant_Review-g29750-d1205782-Reviews-Izakaya_in_Borgata_Hotel-Atlantic_City_New_Jersey.html,Check The Website for a Menu,Atlantic City, NJ
1152,Izumi,12539 116th Ave NE," Japanese, Seafood, Sushi",4.5,106,"Located in a strip mall, Izumi does’nt really stand out from outside.  Inside, it is clean and functional - and frequented by Japanese folks - always a good sign.  We were ushered to our table by a lovely lady in a kimono.  Food was good,...More",+1 425-821-1959,https://www.tripadvisor.com//Restaurant_Review-g58541-d433218-Reviews-Izumi-Kirkland_Washington.html,Check The Website for a Menu,Kirkland, WA
1153,J Gilligans Bar and Grill,400 E Abram St," American, Bar, Pub",4.0,173,We go every year to J Gilligans for St. Patty's Day.  They set up extra tents and offer low priced drinks.  I have also been for private parties and always get a good value for my drink dollar.  They also serve a full food menu.,+1 817-274-8561,https://www.tripadvisor.com//Restaurant_Review-g30183-d3342005-Reviews-J_Gilligans_Bar_and_Grill-Arlington_Texas.html,Check The Website for a Menu,Arlington, TX
1154,J P Clarkes,947 McLean Ave, Pub,4.5,23,"Great Local Bar and Restaurant in Yonkers, great food with a nice atmosphere, truly a local place to go for a bite to eat.",+1 914-237-0115,https://www.tripadvisor.com//Restaurant_Review-g48922-d4990327-Reviews-J_P_Clarkes-Yonkers_New_York.html,http://pjclarkes.com/menu/third-avenue/,Yonkers, NY
1155,J Prime Steakhouse,1401 North Loop 1604 W," American, Steakhouse, Vegetarian Friendly",4.5,309,Outstanding steak house!  Food was excellent and the service / ambiance was better.  These folks a real gem in midst of all the chains.,+1 210-764-1604,https://www.tripadvisor.com//Restaurant_Review-g60956-d7273799-Reviews-J_Prime_Steakhouse-San_Antonio_Texas.html,http://jprimesteakhouse.com/menu/,San Antonio, TX
1156,J Ramen and Sushi,1011 Hewitt Ave," Japanese, Sushi, Asian",4.5,31,This is a Ramen and Sushi restaurant that has the feel of an izakaya. The vegetable udon were redolent in onions and we're very yummy as was the soft shell crab with a daikon and carrot salad. The Paradise roll was just okay. The fish...More,+1 425-258-5764,https://www.tripadvisor.com//Restaurant_Review-g58466-d10228558-Reviews-J_Ramen_and_Sushi-Everett_Washington.html,Check The Website for a Menu,Everett, WA
1157,J. Dominick's Trattoria,779 Dutchess Tpke," Italian, Gluten Free Options",4.0,130,"We took the family out for a late dinner. This restaurant keeps improving on itself every time we dine here.
The service, food and drinks were well above the norm for dining in Dutchess county.
Bravo to the whole staff and management.
It was so...More",+1 845-486-9400,https://www.tripadvisor.com//Restaurant_Review-g48443-d4021750-Reviews-J_Dominick_s_Trattoria-Poughkeepsie_New_York.html,Check The Website for a Menu,Poughkeepsie, NY
1158,J's Bar and Grill,3130 S Soncy Rd," Southwestern, American, Bar",4.5,99,2nd time eating here.  Service this time was excellent.  Plenty of TV'S  to watch sports.   Good menu selection.   Wide selection of draft beers.  Reasonably priced.,+1 806-358-2222,https://www.tripadvisor.com//Restaurant_Review-g30165-d4328147-Reviews-J_s_Bar_and_Grill-Amarillo_Texas.html,http://www.jsbarandgrillamarillo.com/PDFs/dinner.pdf,Amarillo, TX
1159,J's Place,2681 Calloway Dr Ste 300, American,4.5,134,No comments,+1 661-831-8420,https://www.tripadvisor.com//Restaurant_Review-g32037-d1581297-Reviews-J_s_Place-Bakersfield_California.html,Check The Website for a Menu,Bakersfield, CA
1160,Jack Allen's Kitchen,3600 N Capital of Texas Hwy," American, Southwestern, Bar",4.5,184,Had a valentine dinner with my wife. She had the grilled ruby red trout and she said it was excellent. I had the crispy fried red fish and it was excellent. Our waiter was very personable and excellent service.,+1 512-351-9399,https://www.tripadvisor.com//Restaurant_Review-g30196-d7960315-Reviews-Jack_Allen_s_Kitchen-Austin_Texas.html,https://jackallenskitchen.com/menus,Austin, TX
1161,Jack's Oyster House,42-44 State Street," American, Seafood, Gluten Free Options",4.0,516,This restaurant feels like you are walking into the past in a good way. Greeted by a gentleman who was polite and very organized. Our waiter never stopped moving was very polite. He was good about all of our requests. We even had to make...More,+1 518-465-8854,https://www.tripadvisor.com//Restaurant_Review-g29786-d491024-Reviews-Jack_s_Oyster_House-Albany_New_York.html,Check The Website for a Menu,Albany, NY
1162,Jackson Diner,3747 74th St," Indian, Vegetarian Friendly, Vegan Options",4.0,149,"We chance upon this restaurant as we were visited the Little India of NY at Queens. There were serving lunch buffet at a reasonable price.

The buffet was mediocre; maybe their a la carte is better; we're not sure. We will probably try other restaurants...More",+1 718-672-1232,https://www.tripadvisor.com//Restaurant_Review-g47960-d485008-Reviews-Jackson_Diner-Jackson_Heights_Queens_New_York.html,Check The Website for a Menu,Jackson Heights, NY
1163,Jackson Hole,69_35 Astoria Boulevard," Greek, American, Vegetarian Friendly",4.5,167,Wow one the best burgers in the world with a variety of food to chose from the menu plus the shakes are to die for.,+1 718-204-7070,https://www.tripadvisor.com//Restaurant_Review-g47626-d458328-Reviews-Jackson_Hole-East_Elmhurst_Queens_New_York.html,Check The Website for a Menu,East Elmhurst, NY
1164,Jackson Street Bbq,209 Jackson St," Barbecue, American, Southwestern",4.5,201,"We went on the evening of the 22nd of January 2020. We were late enough they were out of somethings, but what they had was very good. We got the venison sausage, pulled pork smoked turkey and the brisket. All the meats were tasty. We...More",+1 713-224-2400,https://www.tripadvisor.com//Restaurant_Review-g56003-d8023517-Reviews-Jackson_Street_Bbq-Houston_Texas.html,http://zb2.c9a.myftpupload.com/menu/,Houston, TX
1165,Jacob Restaurant,373 Lennox Avenue," American, Vegetarian Friendly, Vegan Options",4.5,112,"The cashiers and other workers are very pleasant. The food is tasty also. If you like 70's music, the live band will have you singing and patting your feet, while you pile your plate with tasty food.",+1 212-866-3663,https://www.tripadvisor.com//Restaurant_Review-g60763-d3410027-Reviews-Jacob_Restaurant-New_York_City_New_York.html,http://www.jacobrestaurant.com/pdf/jacob-restaurant-menu.pdf,New York City, NY
1166,Jacob Restaurant Soul Food & Salad Bar,2695 Frederick Douglass Blvd," American, Vegan Options, Vegetarian Friendly",4.5,185,"To whom it may concern,

 This was the first time I purchased  a meal from Jacobs on 129 & Lennox Avenue NYC location and was completely suprised the meal was totally under par for Jacobs😟 The Lima beans were not fully cooked and the smoked...More",+1 212-283-3663,https://www.tripadvisor.com//Restaurant_Review-g60763-d3631325-Reviews-Jacob_Restaurant_Soul_Food_Salad_Bar-New_York_City_New_York.html,http://www.jacobrestaurant.com/pdf/jacob-restaurant-menu.pdf,New York City, NY
1167,Jake's Steakhouse,6031 Broadway," American, Steakhouse, Gluten Free Options",4.0,118,"Lucked up and found Jake’s Steakhouse while researching for restaurants close to Van Cortlandt Park. It literally is right outside of it... 

From the start I was sold; great reviews, Michelin rated, phenomenal customer service, takes reservations and we could come straight from the park...More",+1 718-581-0182,https://www.tripadvisor.com//Restaurant_Review-g47369-d458354-Reviews-Jake_s_Steakhouse-Bronx_New_York.html,Check The Website for a Menu,Bronx, NY
1168,Jake's Texas Tea House,613 Austin Ave," American, Vegetarian Friendly, Vegan Options",4.5,490,"The three of us enjoyed a delicious meal in this restaurant!!  The decor was a surprise and not at all like a tea house. It was a Garage theme and so cute. Cars, parts, and more!  Even the restrooms followed the theme as well as...More",+1 254-756-2522,https://www.tripadvisor.com//Restaurant_Review-g56833-d4842829-Reviews-Jake_s_Texas_Tea_House-Waco_Texas.html,Check The Website for a Menu,Waco, TX
1169,Jakes Original Tex Mex Cafe,1710 Oak St," American, Southwestern",4.5,60,No comments,+1 661-322-6380,https://www.tripadvisor.com//Restaurant_Review-g32037-d1764328-Reviews-Jakes_Original_Tex_Mex_Cafe-Bakersfield_California.html,Check The Website for a Menu,Bakersfield, CA
1170,Jalapenos Pizza & Wings,9802 McPherson Rd," Italian, Pizza",4.5,98,We ordered from jalapenos the pizza with all the meats and it was so delicious. They always have a specials  so the prices are good. I would recommend to try  the pizza with all the meats.,+1 956-722-7777,https://www.tripadvisor.com//Restaurant_Review-g56137-d3736308-Reviews-Jalapenos_Pizza_Wings-Laredo_Texas.html,http://www.jalapenos-pizza.com/menu-1.html,Laredo, TX
1171,Jalisco Mexican Restaurant,1715 228th St SE Ste 102," Mexican, Vegetarian Friendly",4.0,53,I had chicken enchiladas for lunch and though on the whole it was ok the chicken wasn't really seasoned. The rice was seasoned well but crunchy. The margarita I got with lunch was good enough for me ignore the crunchy rice though.,+1 425-481-3931,https://www.tripadvisor.com//Restaurant_Review-g58362-d464044-Reviews-Jalisco_Mexican_Restaurant-Bothell_Washington.html,Check The Website for a Menu,Bothell, WA
1172,Jammin' Crepes,20 Nassau St," American, Cafe, Healthy",4.5,191,"Made famous by DDD.
Popular expect to wait. Go to the counter place your order and find a seat.
My piggy pork crepe was delicious fresh ingredients loved the light crepe sauce and crunchy slaw a big portion, we also ordered a Turkey rueben ok....More",+1 609-924-5387,https://www.tripadvisor.com//Restaurant_Review-g46756-d7154795-Reviews-Jammin_Crepes-Princeton_New_Jersey.html,http://www.jammincrepes.com/menu/,Princeton, NJ
1173,Jasmine Thai Restaurant,2717 Broadway," Asian, Thai, Vegetarian Friendly",4.5,84,Went there with the family its nice casual setting with amazingly delicious food I would definitely go back and try different stuff. The siam duck and the pad thai was top notch. The menu is so long it would take multiple visits just to try...More,+1 518-346-9990,https://www.tripadvisor.com//Restaurant_Review-g48572-d3927990-Reviews-Jasmine_Thai_Restaurant-Schenectady_New_York.html,Check The Website for a Menu,Schenectady, NY
1174,Jason's Deli,7406 SW 34th Ave Unit 1," American, Deli, Soups",4.5,76,"We visited for lunch - the wait staff were all prompt, friendly and eager to help if you needed anything.  The Gumbo was just spicy enough - The baked potato was the largest potato I have ever seen and being from Washington/Idaho that says alot....More",+1 806-353-4440,https://www.tripadvisor.com//Restaurant_Review-g30165-d411943-Reviews-Jason_s_Deli-Amarillo_Texas.html,http://jasonsdeli.com/menu,Amarillo, TX
1175,Jason's Deli,4365 N Expressway," American, Soups, Vegetarian Friendly",4.0,29,"Typical Jason's Deli, Service was fine. Food was fine but overpriced. I still can't figure out why anyone pays $4 more for a sandwich here instead of going to Subway. Salad bar? Don't get it. But, if you are a fan of this brand- you...More",+1 956-350-2400,https://www.tripadvisor.com//Restaurant_Review-g60928-d5047114-Reviews-Jason_s_Deli-Brownsville_Texas.html,http://www.jasonsdeli.com/menu,Brownsville, TX
1176,Jason's Restaurant,1402 S Meridian, American,4.0,74,Met my son and grandson here for breakfast.  The food was good.  I had the breakfast sandwich and it had a good portion of ham on it and was tasty.  What really impressed me about this place was the wait staff.  They were so friendly...More,+1 253-845-7367,https://www.tripadvisor.com//Restaurant_Review-g58693-d451221-Reviews-Jason_s_Restaurant-Puyallup_Washington.html,Check The Website for a Menu,Puyallup, WA
1177,Jasper's Bar B Que,105 Clifton St," Barbecue, American",5.0,45,"Jaspers is in a unique neighborhood and we hesitated a minute before we decided to be adventurous. We are so glad we stopped. The people were super friendly and the food was delicious and plentiful. We split a three meat plate with brisket, sausage, and...More",+1 254-732-0899,https://www.tripadvisor.com//Restaurant_Review-g56833-d3368920-Reviews-Jasper_s_Bar_B_Que-Waco_Texas.html,http://www.jaspersbarbecue.com/menu.html,Waco, TX
1178,Jaspers Richardson,1251 State St," American, Steakhouse, Gluten Free Options",4.0,79,"We went here for dinner on a Saturday night and had an absolutely top-notch experience from start to finish. The interior is modern, upscale, very clean and sleek. 

Our server Micah was excellent. He was personable and his descriptions of the food were similar to...More",+1 214-716-2610,https://www.tripadvisor.com//Restaurant_Review-g56538-d10155880-Reviews-Jaspers_Richardson-Richardson_Texas.html,Check The Website for a Menu,Richardson, TX
1179,Jay Berry's Cafe,16341 SE Renton Issaquah Rd," American, Vegetarian Friendly",4.0,67,We had an outstanding  breakfast for 3 with plenty of Great Delious food. we will return. great sausages,+1 425-271-1817,https://www.tripadvisor.com//Restaurant_Review-g58704-d2022163-Reviews-Jay_Berry_s_Cafe-Renton_Washington.html,Check The Website for a Menu,Renton, WA
1180,Jeanne D'Arc Restaurant,715 Bush St," French, European, Vegetarian Friendly",4.5,683,No comments,+1 415-421-3154,https://www.tripadvisor.com//Restaurant_Review-g60713-d379131-Reviews-Jeanne_D_Arc_Restaurant-San_Francisco_California.html,Check The Website for a Menu,San Francisco, CA
1181,Jeng Chi Restaurant,400 N Greenville Ave," Chinese, Asian, Vegan Options",4.0,126,I love their juicy dumplings with their house vinegar.  The quality of the food is is very good.  I've eaten here several times and have never left disappointed.,+1 972-669-9094,https://www.tripadvisor.com//Restaurant_Review-g56538-d841319-Reviews-Jeng_Chi_Restaurant-Richardson_Texas.html,Check The Website for a Menu,Richardson, TX
1182,Jenny's Cafe,9425 E Sprague Ave," American, Cafe, Diner",4.0,47,"Portion is huge. Endless hash browns offered but it’s hard to get through the initial serving. Nice omelette with 3 ingredients at a very good price. 

Yummy jam. 

Good coffee.

Great service. Attentive and friendly. 

Can’t go wrong here for breakfast.",+1 509-928-8055,https://www.tripadvisor.com//Restaurant_Review-g1784998-d1047519-Reviews-Jenny_s_Cafe-Spokane_Valley_Washington.html,Check The Website for a Menu,Spokane Valley, WA
1183,Jesse's Tortilla Factory,1226 Webster Ave, Mexican,4.5,42,Picked up some chips and hot sauce along with corn and flour tortillas for the first time. My family devoured the chips and hot sauce and only had a little left. Had to put a note on the small amount left “do not eat anymore”...More,+1 254-752-6286,https://www.tripadvisor.com//Restaurant_Review-g56833-d4614626-Reviews-Jesse_s_Tortilla_Factory-Waco_Texas.html,Check The Website for a Menu,Waco, TX
1184,Jimmy Changas,300 Westgreen Blvd," Mexican, Vegetarian Friendly, Vegan Options",4.0,267,"Food was fresh and flavorful.  I had the fish tacos (I don't get them at home), and thoroughly loved every bit.  The chips and salsa were good, as was the salsa con queso (we Americans mistakenly just call it ""queso."")  Clean and festive, this is...More",+1 832-321-5927,https://www.tripadvisor.com//Restaurant_Review-g56062-d6276268-Reviews-Jimmy_Changas-Katy_Texas.html,https://www.jimmychangas.com/jimmy-changas-menu/,Katy, TX
1185,Jimmy Mac's Roadhouse,225 SW 7th St," American, Steakhouse, Bar",4.0,323,"Jimmy Mac's has a great family atmosphere, great for business lunches, or a friendly gathering place, and a great experience. The food is tasty, satisfying, and of good value. You even get a freebe: all the free peanuts you can eat. You don't have to...More",+1 425-227-6881,https://www.tripadvisor.com//Restaurant_Review-g58704-d463969-Reviews-Jimmy_Mac_s_Roadhouse-Renton_Washington.html,https://www.jimmymacsroadhouse.com/menu/,Renton, WA
1186,Jimmy Mac's Roadhouse,34902 Pacific Hwy S," American, Steakhouse, Bar",4.0,203,"The first time we went, the service was horrible. We were forgotten so many times. Had to hail down our server more than once. 

Didnt realize we had to get our own bowl of peanuts. We asked about them and were told we could get...More",+1 253-874-6000,https://www.tripadvisor.com//Restaurant_Review-g58471-d1881765-Reviews-Jimmy_Mac_s_Roadhouse-Federal_Way_Washington.html,Check The Website for a Menu,Federal Way, WA
1187,Jimmy's Famous American Tavern,1733 Ocean Ave," American, Bar, Vegetarian Friendly",4.5,155,No comments,+1 424-292-5222,https://www.tripadvisor.com//Restaurant_Review-g33052-d12386739-Reviews-Jimmy_s_Famous_American_Tavern-Santa_Monica_California.html,Check The Website for a Menu,Santa Monica, CA
1188,Jimmy's Pizza & Pasta,9819 State Route 532," Italian, Pizza, Vegetarian Friendly",4.5,179,"Good food and excellent service.

We arrived for an early dinner after some errands and within the hour there must have been 10+ people waiting as every table was full.

We were a family of five, shared Caesar Salad, Meat Lovers Pizza, Shrimp Pasta and...More",+1 360-629-6565,https://www.tripadvisor.com//Restaurant_Review-g58762-d556831-Reviews-Jimmy_s_Pizza_Pasta-Stanwood_Washington.html,Check The Website for a Menu,Stanwood, WA
1189,Jin Sushi,1600 19th St," Japanese, Sushi, Asian",4.5,67,No comments,+1 661-447-4622,https://www.tripadvisor.com//Restaurant_Review-g32037-d8624441-Reviews-Jin_Sushi-Bakersfield_California.html,http://jin-sushi.cafe-inspector.com#menu,Bakersfield, CA
1190,Jines Restaurant,658 Park Ave," American, Greek, Vegetarian Friendly",4.0,501,We have heard high reviews about this restaurant and finally had the opportunity to get to that side of time only to be disappointed. My Spanakopita had no taste and from the other reviews I saw others received pita bread. I did not .  I...More,+1 585-461-1280,https://www.tripadvisor.com//Restaurant_Review-g48503-d415841-Reviews-Jines_Restaurant-Rochester_Finger_Lakes_New_York.html,Check The Website for a Menu,Rochester, NY
1191,JJ Mahoney's,8932 161st Ave NE," Irish, Bar, Pub",4.0,72,Where everybody knows your name. Great place to get together with friends and also just sit at the bar and have random chats. Good happy hour menu and always that amazing Guinness off tap.,+1 425-558-1866,https://www.tripadvisor.com//Restaurant_Review-g58702-d807873-Reviews-JJ_Mahoney_s-Redmond_Washington.html,Check The Website for a Menu,Redmond, WA
1192,Joe & Pat Pizzeria,1758 Victory Blvd," Italian, Pizza, Vegetarian Friendly",4.5,107,the pizza here is one of Staten Islands best.  They make a thin crust and it's super nice. This is a delicious meal paired with one of their salads.....love the fennel one.  Try an add on to the pizza and save your appetite because you...More,+1 718-981-0887,https://www.tripadvisor.com//Restaurant_Review-g48682-d459076-Reviews-Joe_Pat_Pizzeria-Staten_Island_New_York.html,Check The Website for a Menu,Staten Island, NY
1193,Joe Taco,7312 Wallace Blvd," Mexican, Southwestern, Vegetarian Friendly",4.0,202,I was surprised how great this place turned out to be. Everyone at our table enjoyed their food. I would definitely go back. Best fajitas I've had in awhile. Price wasn't too bad either. Service was good.,+1 806-331-8226,https://www.tripadvisor.com//Restaurant_Review-g30165-d2216155-Reviews-Joe_Taco-Amarillo_Texas.html,Check The Website for a Menu,Amarillo, TX
1194,Joe's Crab Shack,12011 Harbor Blvd," American, Bar, Seafood",4.0,812,No comments,+1 714-703-0505,https://www.tripadvisor.com//Restaurant_Review-g32420-d341700-Reviews-Joe_s_Crab_Shack-Garden_Grove_California.html,Check The Website for a Menu,Garden Grove, CA
1195,Joe's Shanghai,13621 37th Ave," Chinese, Asian, Soups",4.0,241,"We went for the soup dumpling, and they were excellent.  Other dishes at other tables looked top notch... Seems like it's authentic Chinese mixed in with some American Chinese dishes to please everyone.  It's worth a visit",+1 718-539-3838,https://www.tripadvisor.com//Restaurant_Review-g47729-d484056-Reviews-Joe_s_Shanghai-Flushing_Queens_New_York.html,Check The Website for a Menu,Flushing, NY
1196,JOEY,800 Bellevue Way NE," American, Bar, Grill",4.0,354,Went for happy hour (3-6 Sunday) decent choice of drinks & food including ‘original super’ which turned out to be a G&T with lime granita. Korean style cauliflower & poke bowl were good. HH sliders a bit over done,+1 425-637-1177,https://www.tripadvisor.com//Restaurant_Review-g58349-d863658-Reviews-JOEY-Bellevue_Washington.html,Check The Website for a Menu,Bellevue, WA
1197,Joey's Classic Italian Dining,6594 Thompson Rd," Italian, Vegetarian Friendly, Vegan Options",4.5,576,"Joey's is a classic Old School Italian restaurant. The food is great, service on point and great atmosphere.  I highly recommend.",+1 315-432-0315,https://www.tripadvisor.com//Restaurant_Review-g48713-d421551-Reviews-Joey_s_Classic_Italian_Dining-Syracuse_Finger_Lakes_New_York.html,Check The Website for a Menu,Syracuse, NY
1198,John Brown Smokehouse,1043 44th Dr," American, Bar, Barbecue",4.5,396,"Headed here late on my first night staying locally for a quick bite to eat. Got here just after 9pm and unsurprisingly, they’d sold out of pulled pork and burnt ends (my first two choices), but I was more than happy to sample the brisket...More",+1 347-617-1120,https://www.tripadvisor.com//Restaurant_Review-g48080-d3194627-Reviews-John_Brown_Smokehouse-Long_Island_City_Queens_New_York.html,Check The Website for a Menu,Long Island City, NY
